================ Training Loss (Tue Jun 23 11:14:47 2026) ================
(epoch: 10, iters: 1, time: 0.046) lr_pixelwise: 61106.578 rec: 97648.359 rec_orthg: 113000.734 msi_pixelwise: 36541.777 manifold: 25.793 manifold_spa: 1405.203 msi_ss_msi: 32272.623 msi_ss_lr: 68192.695 lrmsi_pixelwise: 2766.833 joint: 220986.391 
(epoch: 20, iters: 1, time: 0.037) lr_pixelwise: 50201.391 rec: 83140.070 rec_orthg: 57455.145 msi_pixelwise: 32938.680 manifold: 29.357 manifold_spa: 1660.237 msi_ss_msi: 26519.309 msi_ss_lr: 64211.141 lrmsi_pixelwise: 2498.675 joint: 149934.766 
(epoch: 30, iters: 1, time: 0.047) lr_pixelwise: 48101.168 rec: 80620.484 rec_orthg: 53217.379 msi_pixelwise: 32519.312 manifold: 32.164 manifold_spa: 1777.964 msi_ss_msi: 21208.945 msi_ss_lr: 54516.098 lrmsi_pixelwise: 2092.085 joint: 141637.391 
(epoch: 40, iters: 1, time: 0.044) lr_pixelwise: 47390.117 rec: 79770.859 rec_orthg: 47484.289 msi_pixelwise: 32380.740 manifold: 33.209 manifold_spa: 1933.323 msi_ss_msi: 47796.047 msi_ss_lr: 40140.555 lrmsi_pixelwise: 2869.327 joint: 136355.094 
(epoch: 50, iters: 1, time: 0.048) lr_pixelwise: 47038.008 rec: 79348.094 rec_orthg: 44218.477 msi_pixelwise: 32310.090 manifold: 33.281 manifold_spa: 2165.770 msi_ss_msi: 25701.488 msi_ss_lr: 31135.641 lrmsi_pixelwise: 1245.390 joint: 129396.508 
(epoch: 60, iters: 1, time: 0.038) lr_pixelwise: 47029.750 rec: 79302.977 rec_orthg: 41724.359 msi_pixelwise: 32273.225 manifold: 33.073 manifold_spa: 2534.583 msi_ss_msi: 53867.582 msi_ss_lr: 29347.473 lrmsi_pixelwise: 1782.338 joint: 129552.453 
(epoch: 70, iters: 1, time: 0.036) lr_pixelwise: 47412.277 rec: 80194.672 rec_orthg: 42845.574 msi_pixelwise: 32782.391 manifold: 32.756 manifold_spa: 2516.739 msi_ss_msi: 47160.344 msi_ss_lr: 29016.105 lrmsi_pixelwise: 835.214 joint: 130766.609 
(epoch: 80, iters: 1, time: 0.043) lr_pixelwise: 46955.375 rec: 79253.062 rec_orthg: 42149.547 msi_pixelwise: 32297.689 manifold: 32.204 manifold_spa: 2532.424 msi_ss_msi: 30571.326 msi_ss_lr: 30110.316 lrmsi_pixelwise: 1001.243 joint: 127596.258 
(epoch: 90, iters: 1, time: 0.046) lr_pixelwise: 46868.688 rec: 79165.672 rec_orthg: 40722.688 msi_pixelwise: 32296.980 manifold: 32.509 manifold_spa: 2705.412 msi_ss_msi: 22073.832 msi_ss_lr: 28569.553 lrmsi_pixelwise: 875.065 joint: 125067.289 
(epoch: 100, iters: 1, time: 0.045) lr_pixelwise: 46828.305 rec: 79092.000 rec_orthg: 39433.797 msi_pixelwise: 32263.697 manifold: 32.792 manifold_spa: 2838.749 msi_ss_msi: 21589.553 msi_ss_lr: 27941.859 lrmsi_pixelwise: 865.359 joint: 123593.898 
(epoch: 110, iters: 1, time: 0.037) lr_pixelwise: 46828.500 rec: 79086.148 rec_orthg: 38830.711 msi_pixelwise: 32257.646 manifold: 32.710 manifold_spa: 2871.522 msi_ss_msi: 21789.473 msi_ss_lr: 27929.740 lrmsi_pixelwise: 928.377 joint: 123010.367 
(epoch: 120, iters: 1, time: 0.037) lr_pixelwise: 46840.102 rec: 79091.938 rec_orthg: 38292.488 msi_pixelwise: 32251.838 manifold: 33.009 manifold_spa: 2936.567 msi_ss_msi: 22333.416 msi_ss_lr: 28022.367 lrmsi_pixelwise: 863.170 joint: 122535.719 
(epoch: 130, iters: 1, time: 0.036) lr_pixelwise: 46825.316 rec: 79077.578 rec_orthg: 37784.070 msi_pixelwise: 32252.266 manifold: 33.594 manifold_spa: 2977.426 msi_ss_msi: 21646.816 msi_ss_lr: 27902.289 lrmsi_pixelwise: 862.832 joint: 121932.648 
